0,600795-601985,601288-601988,603296-002252,601633-603296,601669-603296,600026-603296,600132-603296,601618-601669,601328-603296,603296-000157,Total
2018-12-28,3001.1319389526952,5754.504654895667,,,,,,7305.878594249203,,,
2019-01-02,3022.2873174387514,5833.381059390049,,,,,,7237.635782747605,,,
2019-01-03,3032.2873174387514,5813.661958266453,,,,,,7237.635782747605,,,
2019-01-04,3039.976560466639,5764.364205457465,,,,,,7288.817891373804,,,
2019-01-07,3149.976560466639,5784.08330658106,,,,,,7305.878594249203,,,
2019-01-08,3066.5104250084714,5823.521508828251,,,,,,7169.392971246008,,,
2019-01-09,3036.5104250084714,5803.802407704656,,,,,,7220.5750798722065,,,
2019-01-10,3047.6658034945276,5843.240609951847,,,,,,7186.453674121408,,,
2019-01-11,3047.6658034945276,5823.521508828251,,,,,,7203.514376996806,,,
2019-01-14,3102.2873174387514,5853.100160513644,,,,,,7203.514376996806,,,
2019-01-15,3089.976560466639,5823.521508828251,,,,,,7220.5750798722065,,,
2019-01-16,3069.976560466639,5833.381059390049,,,,,,7186.453674121408,,,
2019-01-17,3072.2873174387514,5823.521508828251,,,,,,7152.332268370609,,,
2019-01-18,3027.6658034945276,5774.2237560192625,,,,,,7203.514376996806,,,
2019-01-21,3059.976560466639,5774.2237560192625,,,,,,7186.453674121408,,,
2019-01-22,3051.1319389526952,5784.08330658106,,,,,,7169.392971246008,,,
2019-01-23,3042.2873174387514,5764.364205457465,,,,,,7135.271565495209,,,
2019-01-24,3041.1319389526952,5744.645104333869,,,,,,7118.21086261981,,,
2019-01-25,2988.821181980583,5685.487800963083,,,,,,7101.150159744411,,,
2019-01-28,3026.5104250084714,5675.628250401285,,,,,,7084.089456869011,,,
2019-01-29,3111.1319389526952,5665.768699839487,,,,,,6981.725239616615,,,
2019-01-30,-1993.84814072858,5675.628250401285,,,,,,6981.725239616615,,,
2019-01-31,-1930.3820052704123,5636.190048154094,,,,,,6981.725239616615,,,
2019-02-01,-2057.3142761867475,5636.190048154094,,,,,,7032.907348242814,,,
2019-02-11,-2078.4696546728037,5655.90914927769,,,,,,7101.150159744411,,,
2019-02-12,-2120.780411644915,5636.190048154094,,,,,,7135.271565495209,,,
2019-02-13,-2184.246547103082,5596.751845906903,,,,,,7220.5750798722065,,,
2019-02-14,-2184.246547103082,5646.049598715892,,,,,,7186.453674121408,,,
2019-02-15,-2226.5573040751933,5705.206902086678,,,,,,7169.392971246008,,,
2019-02-18,-2332.3341965054724,5655.90914927769,,,,,,7271.7571884984045,,,
2019-02-19,-2332.3341965054724,5665.768699839487,,,,,,7237.635782747605,,,
2019-02-20,-2311.178818019417,5655.90914927769,,,,,,7254.696485623005,,,
2019-02-21,-2247.7126825612486,5675.628250401285,,,,,,7237.635782747605,,,
2019-02-22,-2290.023439533361,5675.628250401285,,,,,,7271.7571884984045,,,
2019-02-25,-2480.421845907863,5478.4372391653305,,,,,,7578.849840255592,,,
2019-02-26,-2543.8879813660305,5567.17319422151,,,,,,8141.853035143772,,,
